#LINK,,,,,,,,,,,
#lang,ja,,,,,,,,,,
#attribution_url,http://www.city.takatsuki.osaka.jp/,,,,,,,,,,
#attribution_name,高槻市ＩＴ政策課,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.en,,,,,,,,,,
#file_name,takatsuki_city_Shelter,,,,,,,,,,
#download_from,http://linkdata.org/work/rdf1s3500i,,,,,,,,,,
#property,"http://www.w3.org/2000/01/rdf-schema#label,",address,telephone,fax,areacapa,peoplecapa,Category1,Category2,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,http://xmlns.com/foaf/0.1/homepage
#object_type_xsd,string,string:ja,string,string,string,string,string,string,float,float,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,樫田小学校,高槻市大字田能小字岡崎６,072-688-9237,072-688-9150,560,339,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.955586,135.588992,http://www.takatsuki-osk.ed.jp/kashida/
2,阿武山小学校,高槻市阿武野二丁目１－２,072-693-3251,072-693-3254,2507,1519,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.860301,135.576761,http://www.takatsuki-osk.ed.jp/abuyamasyo/
3,土室小学校,高槻市上土室六丁目１０－１,072-694-7273,072-694-7275,2315,1403,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.848413,135.577276,http://www.takatsuki-osk.ed.jp/hamuro/
4,南平台小学校,高槻市南平台五丁目２０－１,072-695-5751,072-695-5752,2251,1364,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.862289,135.590537,http://www.takatsuki-osk.ed.jp/nanpeidai/
5,郡家小学校,高槻市郡家新町６８－１,072-683-1881,072-683-1883,2315,1403,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.851337,135.596759,http://www.takatsuki-osk.ed.jp/gunge/
6,阿武野小学校,高槻市氷室町四丁目４－５,072-694-4666,072-694-4669,2646,1603,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.851759,135.587962,http://www.takatsuki-osk.ed.jp/abunosyo/
7,川西小学校,高槻市川西町一丁目３４－７,072-681-5620,072-681-5769,1817,1101,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.851079,135.604078,http://www.takatsuki-osk.ed.jp/kawasyo/
8,清水小学校,高槻市宮之川原四丁目２０－１,072-688-6517,072-688-6553,2468,1495,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.865951,135.600622,http://www.takatsuki-osk.ed.jp/shimizu/
9,安岡寺小学校,高槻市安岡寺町一丁目６０－１,072-687-9139,072-687-9140,2443,1480,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.872535,135.603926,http://www.takatsuki-osk.ed.jp/ankouji/
10,北清水小学校,高槻市安岡寺町六丁目２－１,072-688-4316,072-688-4330,2571,1558,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.881759,135.60457,http://www.takatsuki-osk.ed.jp/kitashimizu/
11,芥川小学校,高槻市真上町一丁目２－３,072-682-1404,072-682-1407,2771,1679,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.854952,135.613588,http://www.takatsuki-osk.ed.jp/akutagawa/
12,真上小学校,高槻市西真上二丁目１７－１,072-683-3558,072-683-3559,2315,1403,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.857676,135.600622,http://www.takatsuki-osk.ed.jp/makami/
13,日吉台小学校,高槻市日吉台一番町２４－１８,072-689-1530,072-689-1585,3122,1892,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.869965,135.61311,http://www.takatsuki-osk.ed.jp/hiyoshidai/
14,北日吉台小学校,高槻市日吉台三番町４－２０,072-688-8641,072-688-8642,2822,1710,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.878027,135.608604,http://www.takatsuki-osk.ed.jp/kitahiyoshi/
15,磐手小学校,高槻市安満西の町２７－１,072-683-4960,072-683-4999,2733,1656,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.861127,135.62886,http://www.takatsuki-osk.ed.jp/iwate/
16,奥坂小学校,高槻市別所本町３５－５,072-681-2614,072-683-9087,2315,1403,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.863944,135.624998,http://www.takatsuki-osk.ed.jp/okusaka/
17,五領小学校,高槻市五領町１２－１,072-669-0181,072-669-0183,2338,1416,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.86176,135.652678,http://www.takatsuki-osk.ed.jp/goryosyo/
18,上牧小学校,高槻市上牧町四丁目２２－１,072-669-2255,072-669-2256,2379,1441,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.860458,135.661047,http://www.takatsuki-osk.ed.jp/kanmaki/
19,北大冠小学校,高槻市宮野町１０－５,072-671-5390,072-671-5391,2891,1752,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.851724,135.636756,http://www.takatsuki-osk.ed.jp/kitakan/
20,大冠小学校,高槻市天川町４２－２,072-671-6806,072-671-6807,2331,1412,避難所,家屋の倒壊等により自宅で生活できなくなった被災者が一定期間滞在するための場所　※避難所は、緊急避難場所を兼ねます。,34.841722,135.634096,http://www.takatsuki-osk.ed.jp/okanmuri/
